Age,Attrition,Department,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,YearsAtCompany,AgeGroup,SalaryLevel,YearsGroup,,,,,,,,
41.00,Yes,Sales,4.00,Single,5993.00,Yes,6.00,40-49,Medium,6+,,,,,,,,
49.00,No,Research & Development,2.00,Married,5130.00,No,10.00,40-49,Medium,6+,,,,,,,,
37.00,Yes,Research & Development,3.00,Single,2090.00,Yes,0.00,30-39,Low,0-2,,,,,,,,
33.00,No,Research & Development,3.00,Married,2909.00,Yes,8.00,30-39,Low,6+,,,,,,,,
27.00,No,Research & Development,2.00,Married,3468.00,No,2.00,20-29,Medium,0-2,,,,,,,,
32.00,No,Research & Development,4.00,Single,3068.00,No,7.00,30-39,Medium,6+,,Attrition,Count of Attrition,,,,Overtime ,Count of Attrition
59.00,No,Research & Development,1.00,Married,2670.00,Yes,1.00,50+,Low,0-2,,No,83.88%,,,,No,71.70%
30.00,No,Research & Development,3.00,Divorced,2693.00,No,1.00,30-39,Low,0-2,,Yes,16.12%,,,,Yes,28.30%
38.00,No,Research & Development,3.00,Single,9526.00,No,9.00,30-39,High,6+,,Grand Total,100.00%,,,,Grand Total,100.00%
36.00,No,Research & Development,3.00,Married,5237.00,No,7.00,30-39,Medium,6+,,,,,,,,
35.00,No,Research & Development,2.00,Married,2426.00,No,5.00,30-39,Low,3-5,,,,,,,,
29.00,No,Research & Development,3.00,Single,4193.00,Yes,9.00,20-29,Medium,6+,,Count of Attrition,Attrition,,,,,
31.00,No,Research & Development,3.00,Divorced,2911.00,No,5.00,30-39,Low,3-5,,Department,No,Yes,Grand Total,,,
34.00,No,Research & Development,4.00,Divorced,2661.00,No,2.00,30-39,Low,0-2,,Human Resources,4.14%,5.06%,4.29%,,,
28.00,Yes,Research & Development,3.00,Single,2028.00,Yes,4.00,20-29,Low,3-5,,Research & Development,67.15%,56.12%,65.37%,,,
29.00,No,Research & Development,1.00,Divorced,9980.00,No,10.00,20-29,High,6+,,Sales,28.71%,38.82%,30.34%,,,
32.00,No,Research & Development,2.00,Divorced,3298.00,Yes,6.00,30-39,Medium,6+,,Grand Total,100.00%,100.00%,100.00%,,,
22.00,No,Research & Development,4.00,Divorced,2935.00,Yes,1.00,20-29,Low,0-2,,,,,,,,
53.00,No,Sales,4.00,Married,15427.00,No,25.00,50+,High,6+,,,,,,,,
38.00,No,Research & Development,4.00,Single,3944.00,Yes,3.00,30-39,Medium,3-5,,Salary,Count of Attrition,,,,,
24.00,No,Research & Development,3.00,Divorced,4011.00,No,4.00,20-29,Medium,3-5,,High,29.59%,,,,,
36.00,Yes,Sales,1.00,Single,3407.00,No,5.00,30-39,Medium,3-5,,Low,26.87%,,,,,
34.00,No,Research & Development,2.00,Single,11994.00,No,12.00,30-39,High,6+,,Medium,43.54%,,,,,
21.00,No,Research & Development,4.00,Single,1232.00,No,0.00,20-29,Low,0-2,,Grand Total,100.00%,,,,,
34.00,Yes,Research & Development,1.00,Single,2960.00,No,4.00,30-39,Low,3-5,,,,,,,,
53.00,No,Research & Development,3.00,Divorced,19094.00,No,14.00,50+,High,6+,,,,,,,,
32.00,Yes,Research & Development,1.00,Single,3919.00,Yes,10.00,30-39,Medium,6+,,,,,,,,
42.00,No,Sales,2.00,Married,6825.00,No,9.00,40-49,Medium,6+,,,,,,,,
